step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
149,113,11.381212068400826,0.035398230088495575,2,0
150,114,11.683428881062545,0.0,1,0
151,113,11.717089160277403,0.0,1,0
152,112,11.79152997467882,0.0,1,0
153,113,11.798345184334089,0.0,2,0
154,114,11.704037911027632,0.0,1,0
155,115,11.592821880407467,0.0,1,0
156,115,11.458188668653351,0.0,1,0
157,116,11.339474195372578,0.0,1,0
158,117,11.5551928425594,0.0,1,0
159,117,11.836279271225758,0.008547008547008548,2,0
160,117,12.035230131608674,0.017094017094017096,2,0
161,114,12.149778216850407,0.02631578947368421,2,0
162,115,12.259414041021836,0.008695652173913044,2,0
163,116,12.341473877298812,0.0,1,0
164,117,12.420857429712045,0.008547008547008548,2,0
165,117,12.387122088935413,0.0,1,0
166,118,12.45847366486553,0.0,1,0
167,119,12.383787255645258,0.0,1,0
168,120,12.114814780029771,0.0,1,0
169,120,11.893713316280946,0.0,1,0
170,120,11.829909765627452,0.0,1,0
171,120,11.764068982216031,0.008333333333333333,2,0
172,118,11.835204355681459,0.01694915254237288,2,0
173,116,11.797376542550639,0.02586206896551724,2,0
174,116,11.783260030759319,0.0,1,0
175,115,11.715593515168386,0.008695652173913044,2,0
176,114,11.78264294166472,0.0,0,0
177,114,11.811023940096442,0.0,1,0
178,115,11.603133229152068,0.008695652173913044,3,0
179,116,11.622202070462308,0.008620689655172414,2,0
180,115,11.656698161122794,0.0,1,0
181,116,11.538173167631498,0.008620689655172414,2,0
182,117,11.457552734249894,0.017094017094017096,2,0
183,116,11.261768941374914,0.034482758620689655,3,0
184,114,11.134138538579084,0.06140350877192982,4,0
185,112,11.300614722418336,0.07142857142857142,4,0
186,111,11.600529341099685,0.0990990990990991,4,0
187,112,11.532671346229415,0.10714285714285714,4,0
188,112,11.388796661952684,0.125,4,0
189,111,11.392325514527855,0.05405405405405406,2,0
190,109,11.447758014624982,0.07339449541284404,3,0
191,110,11.553234760008849,0.09090909090909091,3,0
192,111,11.684630729078274,0.10810810810810811,3,0
193,112,11.601421330109456,0.125,3,0
194,112,11.90624609326163,0.15178571428571427,3,0
195,112,11.70994705195215,0.17857142857142858,5,0
196,112,11.651138479476847,0.21428571428571427,5,0
197,112,11.656930806972312,0.125,4,0
198,111,11.677688645731036,0.02702702702702703,2,0
199,112,11.491282423610363,0.03571428571428571,2,0
200,111,11.338031257978761,0.05405405405405406,3,0
201,111,11.16028190422911,0.07207207207207207,2,0
202,112,11.076308703867031,0.07142857142857142,3,0
203,113,10.774320468314427,0.017699115044247787,2,0
204,114,10.67334163086424,0.02631578947368421,2,0
205,114,10.679496861606433,0.008771929824561403,2,0
206,114,10.73427042831117,0.008771929824561403,3,0
207,114,11.053346759980748,0.03508771929824561,4,0
208,115,11.150890333327578,0.06086956521739131,4,0
209,114,11.386756610765573,0.08771929824561403,3,0
210,115,11.436665365956797,0.12173913043478261,6,0
211,116,11.55907493084458,0.1206896551724138,5,0
212,116,11.627549931520173,0.07758620689655173,4,0
213,117,11.753586980721499,0.10256410256410256,4,0
214,117,11.89636721595393,0.1452991452991453,6,0
215,117,11.96097199103271,0.09401709401709402,4,0
216,117,11.854580020986402,0.11965811965811966,4,0
217,117,11.590872247000547,0.10256410256410256,4,0
218,118,11.463696287929935,0.07627118644067797,3,0
219,119,11.308845843095058,0.09243697478991597,3,0
220,120,11.091376602883223,0.125,5,0
221,120,11.03209651649301,0.16666666666666666,6,0
222,121,10.971298419057943,0.21487603305785125,7,0
223,120,10.984400442366507,0.275,8,0
224,120,10.970680736491776,0.31666666666666665,7,0
225,121,10.799304218722963,0.371900826446281,8,0
226,121,10.592143064777728,0.4132231404958678,7,0
